,win,loss,76人,公牛,凯尔特人,勇士,国王,太阳,奇才,尼克斯,开拓者,快船,掘金,无主队,森林狼,步行者,活塞,湖人,火箭,灰熊,热火,爵士,独行侠,猛龙,篮网,老鹰,雄鹿,雷霆,马刺,骑士,魔术,鹈鹕,黄蜂
862,老鹰,篮网,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0
863,骑士,小牛,1.0,3.0,12.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,569.0,1.0,0.0,0.0,28.0,54.0,0.0,1.0,0.0,29.0,2.0,0.0,0.0,0.0,7.0,8.0,61.0,0.0,0.0,0.0
864,马刺,灰熊,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,319.0,0.0,0.0,0.0,2.0,7.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,106.0,1.0,0.0,0.0,1.0
865,奇才,活塞,0.0,0.0,16.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,73.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
866,马刺,灰熊,0.0,0.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,407.0,2.0,2.0,1.0,9.0,66.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,168.0,5.0,0.0,0.0,1.0
867,勇士,魔术,0.0,3.0,5.0,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,291.0,1.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
868,猛龙,步行者,0.0,0.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,77.0,0.0,22.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,47.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
869,小牛,灰熊,1.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,241.0,0.0,0.0,0.0,10.0,35.0,6.0,2.0,0.0,48.0,0.0,0.0,0.0,0.0,4.0,3.0,10.0,0.0,0.0,0.0
870,热火,黄蜂,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
871,凯尔特人,76人,6.0,1.0,97.0,12.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,274.0,0.0,0.0,0.0,17.0,8.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,18.0,10.0,1.0,0.0,0.0
872,国王,勇士,7.0,1.0,8.0,210.0,11.0,3.0,0.0,10.0,1.0,5.0,6.0,1106.0,2.0,1.0,0.0,28.0,98.0,43.0,5.0,0.0,6.0,0.0,1.0,0.0,3.0,3.0,20.0,47.0,1.0,2.0,1.0
873,快船,湖人,3.0,3.0,15.0,8.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,902.0,2.0,3.0,2.0,194.0,71.0,1.0,2.0,1.0,15.0,0.0,3.0,0.0,2.0,6.0,34.0,28.0,1.0,0.0,0.0
874,骑士,老鹰,3.0,15.0,4.0,11.0,0.0,19.0,0.0,4.0,0.0,8.0,0.0,1017.0,3.0,0.0,0.0,13.0,42.0,0.0,15.0,0.0,6.0,1.0,0.0,0.0,2.0,3.0,7.0,258.0,0.0,0.0,0.0
